"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2019"
"06000","California","1","Personal income (thousands of dollars)",2632279775
"06000","California","2","Population (persons) 1/",39512223
"06000","California","3","Per capita personal income (dollars) 2/",66619
"06001","Alameda, CA","1","Personal income (thousands of dollars)",135663560
"06001","Alameda, CA","2","Population (persons) 1/",1671329
"06001","Alameda, CA","3","Per capita personal income (dollars) 2/",81171
"06003","Alpine, CA","1","Personal income (thousands of dollars)",81463
"06003","Alpine, CA","2","Population (persons) 1/",1129
"06003","Alpine, CA","3","Per capita personal income (dollars) 2/",72155
"06005","Amador, CA","1","Personal income (thousands of dollars)",1825410
"06005","Amador, CA","2","Population (persons) 1/",39752
"06005","Amador, CA","3","Per capita personal income (dollars) 2/",45920
"06007","Butte, CA","1","Personal income (thousands of dollars)",10490209
"06007","Butte, CA","2","Population (persons) 1/",219186
"06007","Butte, CA","3","Per capita personal income (dollars) 2/",47860
"06009","Calaveras, CA","1","Personal income (thousands of dollars)",2347168
"06009","Calaveras, CA","2","Population (persons) 1/",45905
"06009","Calaveras, CA","3","Per capita personal income (dollars) 2/",51131
"06011","Colusa, CA","1","Personal income (thousands of dollars)",1106274
"06011","Colusa, CA","2","Population (persons) 1/",21547
"06011","Colusa, CA","3","Per capita personal income (dollars) 2/",51342
"06013","Contra Costa, CA","1","Personal income (thousands of dollars)",98423318
"06013","Contra Costa, CA","2","Population (persons) 1/",1153526
"06013","Contra Costa, CA","3","Per capita personal income (dollars) 2/",85324
"06015","Del Norte, CA","1","Personal income (thousands of dollars)",1069227
"06015","Del Norte, CA","2","Population (persons) 1/",27812
"06015","Del Norte, CA","3","Per capita personal income (dollars) 2/",38445
"06017","El Dorado, CA","1","Personal income (thousands of dollars)",13478795
"06017","El Dorado, CA","2","Population (persons) 1/",192843
"06017","El Dorado, CA","3","Per capita personal income (dollars) 2/",69895
"06019","Fresno, CA","1","Personal income (thousands of dollars)",45445944
"06019","Fresno, CA","2","Population (persons) 1/",999101
"06019","Fresno, CA","3","Per capita personal income (dollars) 2/",45487
"06021","Glenn, CA","1","Personal income (thousands of dollars)",1396761
"06021","Glenn, CA","2","Population (persons) 1/",28393
"06021","Glenn, CA","3","Per capita personal income (dollars) 2/",49194
"06023","Humboldt, CA","1","Personal income (thousands of dollars)",6730966
"06023","Humboldt, CA","2","Population (persons) 1/",135558
"06023","Humboldt, CA","3","Per capita personal income (dollars) 2/",49654
"06025","Imperial, CA","1","Personal income (thousands of dollars)",7329602
"06025","Imperial, CA","2","Population (persons) 1/",181215
"06025","Imperial, CA","3","Per capita personal income (dollars) 2/",40447
"06027","Inyo, CA","1","Personal income (thousands of dollars)",1091592
"06027","Inyo, CA","2","Population (persons) 1/",18039
"06027","Inyo, CA","3","Per capita personal income (dollars) 2/",60513
"06029","Kern, CA","1","Personal income (thousands of dollars)",37666752
"06029","Kern, CA","2","Population (persons) 1/",900202
"06029","Kern, CA","3","Per capita personal income (dollars) 2/",41843
"06031","Kings, CA","1","Personal income (thousands of dollars)",6030809
"06031","Kings, CA","2","Population (persons) 1/",152940
"06031","Kings, CA","3","Per capita personal income (dollars) 2/",39433
"06033","Lake, CA","1","Personal income (thousands of dollars)",2849642
"06033","Lake, CA","2","Population (persons) 1/",64386
"06033","Lake, CA","3","Per capita personal income (dollars) 2/",44259
"06035","Lassen, CA","1","Personal income (thousands of dollars)",1165736
"06035","Lassen, CA","2","Population (persons) 1/",30573
"06035","Lassen, CA","3","Per capita personal income (dollars) 2/",38130
"06037","Los Angeles, CA","1","Personal income (thousands of dollars)",653482910
"06037","Los Angeles, CA","2","Population (persons) 1/",10039107
"06037","Los Angeles, CA","3","Per capita personal income (dollars) 2/",65094
"06039","Madera, CA","1","Personal income (thousands of dollars)",6492474
"06039","Madera, CA","2","Population (persons) 1/",157327
"06039","Madera, CA","3","Per capita personal income (dollars) 2/",41267
"06041","Marin, CA","1","Personal income (thousands of dollars)",36684680
"06041","Marin, CA","2","Population (persons) 1/",258826
"06041","Marin, CA","3","Per capita personal income (dollars) 2/",141735
"06043","Mariposa, CA","1","Personal income (thousands of dollars)",969454
"06043","Mariposa, CA","2","Population (persons) 1/",17203
"06043","Mariposa, CA","3","Per capita personal income (dollars) 2/",56354
"06045","Mendocino, CA","1","Personal income (thousands of dollars)",4595625
"06045","Mendocino, CA","2","Population (persons) 1/",86749
"06045","Mendocino, CA","3","Per capita personal income (dollars) 2/",52976
"06047","Merced, CA","1","Personal income (thousands of dollars)",11406396
"06047","Merced, CA","2","Population (persons) 1/",277680
"06047","Merced, CA","3","Per capita personal income (dollars) 2/",41077
"06049","Modoc, CA","1","Personal income (thousands of dollars)",451666
"06049","Modoc, CA","2","Population (persons) 1/",8841
"06049","Modoc, CA","3","Per capita personal income (dollars) 2/",51088
"06051","Mono, CA","1","Personal income (thousands of dollars)",772750
"06051","Mono, CA","2","Population (persons) 1/",14444
"06051","Mono, CA","3","Per capita personal income (dollars) 2/",53500
"06053","Monterey, CA","1","Personal income (thousands of dollars)",25973189
"06053","Monterey, CA","2","Population (persons) 1/",434061
"06053","Monterey, CA","3","Per capita personal income (dollars) 2/",59838
"06055","Napa, CA","1","Personal income (thousands of dollars)",10429596
"06055","Napa, CA","2","Population (persons) 1/",137744
"06055","Napa, CA","3","Per capita personal income (dollars) 2/",75717
"06057","Nevada, CA","1","Personal income (thousands of dollars)",6338625
"06057","Nevada, CA","2","Population (persons) 1/",99755
"06057","Nevada, CA","3","Per capita personal income (dollars) 2/",63542
"06059","Orange, CA","1","Personal income (thousands of dollars)",227732561
"06059","Orange, CA","2","Population (persons) 1/",3175692
"06059","Orange, CA","3","Per capita personal income (dollars) 2/",71711
"06061","Placer, CA","1","Personal income (thousands of dollars)",27459330
"06061","Placer, CA","2","Population (persons) 1/",398329
"06061","Placer, CA","3","Per capita personal income (dollars) 2/",68936
"06063","Plumas, CA","1","Personal income (thousands of dollars)",1051498
"06063","Plumas, CA","2","Population (persons) 1/",18807
"06063","Plumas, CA","3","Per capita personal income (dollars) 2/",55910
"06065","Riverside, CA","1","Personal income (thousands of dollars)",104794676
"06065","Riverside, CA","2","Population (persons) 1/",2470546
"06065","Riverside, CA","3","Per capita personal income (dollars) 2/",42418
